epoch,error
1,1466.080316484885
2,1484.8149023247836
3,1473.0473751672998
4,1461.9893853628014
5,1451.906714873201
6,1442.6938556972163
7,1434.254887951504
8,1426.506141888563
9,1419.3745058666452
10,1412.795944158536
11,1406.7142385682348
12,1401.0799187181492
13,1395.8493511143079
14,1390.9839620173918
15,1386.4495732398696
16,1382.2158333919492
17,1378.2557299290404
18,1374.5451697104083
19,1371.0626177429197
20,1367.788785422721
21,1364.7063609566933
22,1361.7997757900107
23,1359.0550018239562
24,1356.4593750112479
25,1354.0014415895134
26,1351.670823779471
27,1349.4581022502246
28,1347.3547130549257
29,1345.352857078314
30,1343.4454203226348
31,1341.625903600515
32,1339.8883604072612
33,1338.2273419190687
34,1336.6378482103507
35,1335.1152849095304
36,1333.655424618549
37,1332.254372513644
38,1330.9085356217413
39,1329.614595334542
40,1328.3694827790625
41,1327.1703567127524
42,1326.0145836538504
43,1324.899719993686
44,1323.8234958696796
45,1322.7838006046684
46,1321.7786695420375
47,1320.806272126391
48,1319.8649010977163
49,1318.9529626820638
50,1318.0689676755744
51,1317.211523330505
52,1316.3793259621918
53,1315.5711542047916
54,1314.7858628520594
55,1314.0223772258828
56,1313.2796880218225
57,1312.5568465862307
58,1311.8529605842193
59,1311.1671900222188
60,1310.498743592403
61,1309.8468753096913
62,1309.2108814149428
63,1308.5900975207962
64,1307.983895978578
65,1307.3916834472184
66,1306.81289864646
67,1306.2470102790232
68,1305.6935151071013
69,1305.1519361705186
70,1304.6218211346825
71,1304.1027407578015
72,1303.594287467651
73,1303.0960740390483
74,1302.6077323640575
75,1302.1289123077252
76,1301.6592806424344
77,1301.1985200550341
78,1300.7463282210183
79,1300.3024169407345
80,1299.8665113329675
81,1299.4383490815187
82,1299.017679731027
83,1298.6042640282744
84,1298.1978733057877
85,1297.798288904563
86,1297.4053016332973
87,1297.018711261371
88,1296.6383260432976
89,1296.2639622724541
90,1295.8954438620406
91,1295.532601951403
92,1295.1752745360009
93,1294.8233061194821
94,1294.4765473862678
95,1294.134854893326
96,1293.7980907800088
97,1293.4661224945378
98,1293.138822536234
99,1292.816068212352
100,1292.497741408724
